DESCRIPTION,URL,PYTZ TIMEZONE
St. John's from Signal Hill,https://c.streamhoster.com/embed/media/Wwsd4L/ifYPgArsAHz/ime5SjsYrM9_5?autoplay=1&mute=1,Canada/Newfoundland
St. John's from Admirals Greens,https://c.streamhoster.com/embed/media/Wwsd4L/ifYPgArsAHz/FtRv7RscdMl_5?autoplay=1&mute=1,Canada/Newfoundland
Downtown St. John's,https://c.streamhoster.com/embed/media/Wwsd4L/ifYPgArsAHz/FtiWjTscdMV_5?autoplay=1&mute=1,Canada/Newfoundland
Quidi Vidi Lake,https://c.streamhoster.com/embed/media/Wwsd4L/ifYPgArsAHz/GnpYXwscJf1_5?autoplay=1&mute=1,Canada/Newfoundland
George Street,https://c.streamhoster.com/embed/media/Wwsd4L/ifYPgArsAHz/GNPhLAscIFd_5?autoplay=1&mute=1,Canada/Newfoundland
Quidi Vidi Village (behind QV brewery),https://c.streamhoster.com/embed/media/Wwsd4L/ifYPgArsAHz/eJLPobsASYm_5?autoplay=1&mute=1,Canada/Newfoundland
Confederation Bridge,https://www.youtube.com/embed/ZFZw_UrBYuY?autoplay=1&mute=1,Canada/Atlantic
Green Shore Summerside,https://www.youtube.com/embed/6ezJq4jqAGk?autoplay=1&mute=1,Canada/Atlantic
Edgewood Tahoe,https://share.earthcam.net/tJ90CoLmq7TzrY396Yd88EuwncqS_hRHM-P6bJrwPcQ!.tJ90CoLmq7TzrY396Yd88O87k9FviI0KvsfIt7imMzg!.tJ90CoLmq7TzrY396Yd88Jwhh43XxoA_EoIOx8e0mQY!,US/Pacific
Zephyr Cove,https://www.youtube.com/embed/Lk0Z5ExUWL0?autoplay=1&mute=1,US/Pacific
Heavenly,https://www.skiheavenly.com/the-mountain/mountain-conditions/mountain-cams.aspx,US/Pacific
Reno Arch,https://www.youtube.com/embed/laopqyiYlxg?autoplay=1&mute=1,US/Pacific
Downtown OKC,https://g1.ipcamlive.com/player/player.php?alias=63bc6f8d7d9f4&disabledownloadbutton=1&autoplay=1,US/Central
